Reserve ID,Token Symbol,Token Contract,Lend APR Base,Lend APR Total,Lend APR Reward,Borrow APR Base,Borrow APR Total,Borrow APR Reward,Total Supplied,Total Borrowed,Utilisation
0x321d5e28d3a570882331b5f76b3bc9fd2650414d2264b8115606482e1fb76e97,SUI,0x0000000000000000000000000000000000000000000000000000000000000002::sui::SUI,3.033,3.033,0.000,5.756,1.870,3.886,"68,236,705.504","44,942,525.534",65.863
0x0b8faf51e65f0beee47f6b9627108ee25b5a2b922ae7ee5725485ed7a9293523,USDC,0x5d4b302506645c37ff133b98c4b50a5ae14841659738d6d733d59d0d217a93bf::coin::COIN,0.338,0.338,0.000,9.002,9.002,0.000,"122,288.202","45,890.121",37.526
0x4c10ee8a249415aae340c468a5a0a757607368e2e94cebf870d0f3f4d198ea3f,USDT,0xc060006111016b8a020ad5b33834984a437aaa7d3c74c18e09a95d48aceab08c::coin::COIN,29.952,29.952,0.000,299.563,299.563,0.000,"36,174.044","36,168.298",99.984
0x40a0bb8ddccbe2f924e51f43e8d456239500c605727763f413ab77e60b3d284a,WETH,0xaf8cd5edc19c4512f4259f0bee101a40d41ebed738ade5874359610ef8eeced5::coin::COIN,1.395,1.395,0.000,4.465,4.465,0.000,1.378,0.538,39.061
0xae8a7d4835824449d9c3ef73f61509c1650d33bea843566038b0521a1f503319,SOL,0xb7844e289a8410e50fb3ca48d69eb9cf29e27d223ef90353fe1bd8e27ff8f3f8::coin::COIN,3.948,3.948,0.000,10.851,0.663,10.188,"10,318.907","5,005.443",48.507
0x0cbad6ed98f495f4fb11da3550c0367d826a48c524022932afc851e068f5e4c9,AUSD,0x2053d08c1e2bd02791056171aab0fd12bd7cd7efad2ab8f6b9c8902f14df2ff2::ausd::AUSD,0.346,7.455,7.109,4.691,4.691,0.000,"4,772,073.647","439,658.319",9.213
0xd388bc079ea1f647f519fce10bcf72f028fad967b440371ebe0a554eae1c2c15,USDC,0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,4.310,5.051,0.740,6.624,4.496,2.128,"46,485,914.282","37,812,009.048",81.341
0xdb9863c5adb5ecf0fc2c58c2f82fd37bc29b9710233f766ab7b55879fc2c6b1f,DEEP,0xdeeb7a4662eec9f2f3def03fb937a663dddaa2e215b8078a284d026b7946c270::deep::DEEP,0.291,26.053,25.762,27.287,27.287,0.000,"436,976,643.861","6,663,716.495",1.525
0xdb864ae82293865b55c9a7826f363a59126193ef9c5192b5da793824deefce21,ETH,0xd0e89b2af5e4910726fbcd8b8dd37bb79b29e5f83f7491bca830e94f7f226d29::eth::ETH,0.086,4.472,4.386,1.220,1.220,0.000,"8,836.041",777.079,8.794
0x426d9b842650bda8efeabd29329d3e8abc2f7b4fd98679ea9ab478ff60e53f43,sSUI,0x83556891f4a0f233ce7b05cfe7f957d4020492a34f5405b2cb9377d060bef4bf::spring_sui::SPRING_SUI,0.000,1.598,1.598,0.000,0.000,0.000,"75,415,083.638",0.000,0.000
